title,categoryName,city,totalScore,reviewsCount
Selfie Time Cilegon Center Mall,Toko,Kota Cilegon,5.0,4717.0
Sanghyang Indah Spa Resort,Hotel Resor,Kabupaten Serang,4.4,2848.0
Cibanten,Tujuan Wisata,Kabupaten Serang,4.4,1430.0
Wisata Agro Bukit Waruwangi,Area Rekreasi Alam,Kabupaten Serang,4.4,3170.0
Allisa Resort Hotel Anyer,Hotel Resor,Kabupaten Serang,4.3,1845.0
"🍀Batukuwung |""Wisata Pemandian Air Panas Belerang & 🏊🏻‍♀️Aquatic""",Kolam renang luar ruangan,Kabupaten Serang,4.1,1387.0
Taman Wisata MBS,Tujuan Wisata,Kota Serang,4.6,3963.0
Carios,Kedai Kopi,Kota Serang,4.6,913.0
CATTALEYA FOOD & BEVERAGE,Restoran Indonesia,Kota Serang,4.6,635.0
Kiara Coffee,Kafe,Kota Serang,4.6,653.0
Pokel Garden Resto,Restoran,Kota Serang,4.5,1410.0
Kopijalu,Kafe,Kota Serang,4.4,651.0
Ramen Naruto,Restoran Ramen,Kota Serang,4.3,4471.0
Cafe Kebon Cau,Kedai Kopi,Kota Serang,4.5,1991.0
RM Indra Seafood Nancang,Restoran Seafood,Kota Serang,4.2,988.0
Saung Ririungan Serang,Restoran Sunda,Kota Serang,4.4,1641.0
Satu Tempat Cafe & Resto,Restoran,Kota Serang,4.6,946.0
Burger King Serang,Restoran,Kota Serang,4.4,1626.0
Kiri Coffee and Eatery,Kafe,Kota Serang,4.7,695.0
Kampung Kecil Serang,Restoran Sunda,Kota Serang,4.9,17476.0
Rempah Bakar Serang,Restoran Indonesia,Kota Serang,4.8,2152.0
Kopi Jelita Cafe,Kedai Kopi,Kota Serang,4.5,517.0
Kopi Calf To Go Serang,Kedai Kopi,Kota Serang,4.9,1128.0
RM Taktakan (Sop Ikan),Restoran Sup,Kota Serang,4.4,2390.0
Sari Kuring Indah Ciracas,Restoran Sunda,Kota Serang,4.4,1657.0
Duren Story Unyur,Restoran,Kota Serang,4.9,3074.0
Bebek Boedjang - Serang,Rumah Makan,Kota Serang,4.8,3925.0
Labbaik Chicken Ciracas,Restoran Masakan Ayam,Kota Serang,4.6,1315.0
Joffi Ramen Bintaro,Restoran Jepang,Kota Tangerang Selatan,4.8,1964.0
Saung Liwet Bancakan Serang,Restoran Sunda,Kota Serang,4.4,1969.0
My Kopi-O!,Kafe,Kota Serang,4.6,2458.0
Kayu Menjangan,Restoran,Kota Tangerang Selatan,4.3,3881.0
Richeese Factory Aria Putra,Restoran cepat saji,Kota Tangerang Selatan,4.3,3670.0
Saung Edi Serang,Restoran Sunda,Kota Serang,4.3,1720.0
Pondok makan Sate dan Sop Putri Asmawi,Restoran Sate,Kota Serang,4.3,619.0
McDonald's Menjangan,Restoran cepat saji,Kota Tangerang Selatan,4.4,6550.0
THE W BINTARO,Restoran,Kota Tangerang Selatan,4.7,539.0
Popeyes U-TOWN UPJ,Restoran Masakan Ayam,Kota Tangerang Selatan,4.8,1490.0
Dadar Beredar - Ciputat,Rumah Makan,Kota Tangerang Selatan,4.6,1071.0
Bakso Titoti,Restoran Bakso,Kota Tangerang Selatan,4.5,2560.0
Pool Rosalia Indah Transport Ciputat,Agen Tiket Bus,Kota Tangerang Selatan,4.5,3047.0
Bintaro Hill,Komplek perumahan,Kota Tangerang Selatan,4.4,739.0
Benteng Surosowan,Bangunan Bersejarah,Kota Serang,4.5,1916.0
WuffySpace Raya Bintaro - Playground Cafe,Arena Bermain Anak-Anak,Kota Tangerang Selatan,4.7,1609.0
Rumah Apung Pulau Burung,Restoran Indonesia,Kota Serang,4.5,717.0
Ramayana Ciputat,Toserba,Kota Tangerang Selatan,4.2,9482.0
Keraton Kaibon,Bangunan Bersejarah,Kota Serang,4.5,2367.0
Bebek Carok - Serang,Restoran,Kota Serang,4.9,3753.0
Warung Kondre,Kedai Kopi,Kota Tangerang Selatan,4.0,1585.0
RM Pecak Bandeng Sawah Luhur,Restoran Seafood,Kota Serang,4.3,1107.0
Buni Manten,Gedung Pernikahan,Kota Tangerang Selatan,4.5,896.0
Rumah Makan Bu Entin,Restoran Seafood,Kota Serang,4.3,7071.0
BFC Mini Farm (Bintaro Farm Center),Taman Hiburan,Kota Tangerang Selatan,4.4,528.0
Smiljan Coffee,Kedai Kopi,Kota Tangerang Selatan,4.8,621.0
Warung Nini - Serang,Restoran,Kota Serang,4.8,3990.0
